customer_id,customer_name,customer_tier,customer_region,email_address,account_created_date
1,Customer 00001 Inc,standard,NORTH_AMERICA,user_1@enterprise1.com,2024-04-08
2,Customer 00002 Inc,Silver,EMEA,user_2@enterprise2.com,2024-12-14
3,Customer 00003 Inc,GOLD,APAC,user_3@enterprise3.com,2024-01-09
4,Customer 00004 Inc,PLATINUM,LATAM,user_4@enterprise4.com,2024-07-02
5,Customer 00005 Inc,STANDARD,NORTH_AMERICA,user_5@enterprise5.com,2024-04-12
6,Customer 00006 Inc,silver,EMEA,user_6@enterprise6.com,2024-06-22
7,Customer 00007 Inc,Gold ,APAC,user_7@enterprise7.com,2024-06-09
8, Customer 00008 Inc ,Platinum,LATAM,user_8@enterprise8.com,2024-02-23
9,Customer 00009 Inc,STANDARD,NORTH_AMERICA,user_9@enterprise9.com,2024-01-17
10,Customer 00010 Inc, SILVER,EMEA,user_10@enterprise10.com,2024-05-21
11, Customer 00011 Inc ,gold,APAC,user_11@enterprise11.com,2024-03-17
12,Customer 00012 Inc,platinum,LATAM,user_12@enterprise12.com,2024-07-04
13,Customer 00013 Inc,STANDARD,NORTH_AMERICA,user_13@enterprise13.com,2024-03-26
14,Customer 00014 Inc,Silver,EMEA,user_14@enterprise14.com,2024-05-08
15,Customer 00015 Inc,gold,APAC,user_15@enterprise15.com,2024-05-21
16,Customer 00016 Inc,Platinum,LATAM,user_16@enterprise16.com,2024-12-18
17,Customer 00017 Inc, STANDARD ,NORTH_AMERICA,user_17@enterprise17.com,2024-04-03
18,Customer 00018 Inc,Silver,EMEA,user_18@enterprise18.com,2024-08-22
19,Customer 00019 Inc, GOLD,APAC,user_19@enterprise19.com,2024-12-11
20,Customer 00020 Inc,Platinum,LATAM,user_20@enterprise20.com,2024-07-07
21,Customer 00021 Inc, STANDARD ,NORTH_AMERICA,user_21@enterprise21.com,2024-09-05
22,Customer 00022 Inc,silver,EMEA,user_22@enterprise22.com,2024-06-07
23,Customer 00023 Inc,gold,APAC,user_23@enterprise23.com,2024-05-17
24,Customer 00024 Inc,platinum,LATAM,user_24@enterprise24.com,2024-11-19
25,Customer 00025 Inc, STANDARD ,NORTH_AMERICA,user_25@enterprise25.com,2024-09-30
26,Customer 00026 Inc,Silver,EMEA,user_26@enterprise26.com,2024-04-28
27,Customer 00027 Inc,Gold ,APAC,user_27@enterprise27.com,2024-11-16
28,Customer 00028 Inc,platinum,LATAM,user_28@enterprise28.com,2024-04-27
29,Customer 00029 Inc,standard,NORTH_AMERICA,user_29@enterprise29.com,2024-03-14
30,Customer 00030 Inc,Silver,EMEA,user_30@enterprise30.com,2024-12-05
31,Customer 00031 Inc,Gold ,APAC,user_31@enterprise31.com,2024-11-19
32, Customer 00032 Inc ,platinum,LATAM,user_32@enterprise32.com,2024-09-22
33, Customer 00033 Inc , STANDARD ,NORTH_AMERICA,user_33@enterprise33.com,2024-01-27
34,Customer 00034 Inc,silver,EMEA,user_34@enterprise34.com,2024-09-12
35,Customer 00035 Inc,Gold ,APAC,user_35@enterprise35.com,2024-07-29
36,Customer 00036 Inc,PLATINUM,LATAM,user_36@enterprise36.com,2024-10-21
37,Customer 00037 Inc,standard,NORTH_AMERICA,user_37@enterprise37.com,2024-10-21
38,Customer 00038 Inc,SILVER,EMEA,user_38@enterprise38.com,2024-06-05
39,Customer 00039 Inc, GOLD,APAC,user_39@enterprise39.com,2024-01-19
40,Customer 00040 Inc,Platinum,LATAM,user_40@enterprise0.com,2024-06-03
41,Customer 00041 Inc,Standard,NORTH_AMERICA,user_41@enterprise1.com,2024-06-03
42,Customer 00042 Inc,Silver,EMEA,user_42@enterprise2.com,2024-06-22
43, Customer 00043 Inc , GOLD,APAC,user_43@enterprise3.com,2024-06-26
44,Customer 00044 Inc,Platinum,LATAM,user_44@enterprise4.com,2024-02-21
45,Customer 00045 Inc,STANDARD,NORTH_AMERICA,user_45@enterprise5.com,2024-04-24
46, Customer 00046 Inc ,SILVER,EMEA,user_46@enterprise6.com,2024-09-26
47,Customer 00047 Inc,GOLD,APAC,user_47@enterprise7.com,2024-11-15
48,Customer 00048 Inc, PLATINUM ,LATAM,user_48@enterprise8.com,2024-12-19
49,Customer 00049 Inc,standard,NORTH_AMERICA,user_49@enterprise9.com,2024-06-14
50,Customer 00050 Inc,SILVER,EMEA,user_50@enterprise10.com,2024-06-12
51,Customer 00051 Inc,GOLD,APAC,user_51@enterprise11.com,2024-01-01
52,Customer 00052 Inc,Platinum,LATAM,user_52@enterprise12.com,2024-09-21
53, Customer 00053 Inc ,Standard,NORTH_AMERICA,user_53@enterprise13.com,2024-10-05
54,Customer 00054 Inc, SILVER,EMEA,user_54@enterprise14.com,2024-01-07
55, Customer 00055 Inc ,Gold ,APAC,user_55@enterprise15.com,2024-01-11
56,Customer 00056 Inc, PLATINUM ,LATAM,user_56@enterprise16.com,2024-08-10
57,Customer 00057 Inc,Standard,NORTH_AMERICA,user_57@enterprise17.com,2024-12-22
58, Customer 00058 Inc ,silver,EMEA,user_58@enterprise18.com,2024-02-08
59, Customer 00059 Inc ,Gold ,APAC,user_59@enterprise19.com,2024-10-03
60, Customer 00060 Inc , PLATINUM ,LATAM,user_60@enterprise20.com,2024-12-02
61, Customer 00061 Inc ,standard,NORTH_AMERICA,user_61@enterprise21.com,2024-06-12
62,Customer 00062 Inc,Silver,EMEA,user_62@enterprise22.com,2024-04-19
63,Customer 00063 Inc, GOLD,APAC,user_63@enterprise23.com,2024-02-27
64,Customer 00064 Inc,platinum,LATAM,user_64@enterprise24.com,2024-11-13
65,Customer 00065 Inc,standard,NORTH_AMERICA,user_65@enterprise25.com,2024-11-23
66,Customer 00066 Inc,SILVER,EMEA,user_66@enterprise26.com,2024-01-20
67,Customer 00067 Inc, GOLD,APAC,user_67@enterprise27.com,2024-02-12
68,Customer 00068 Inc,PLATINUM,LATAM,user_68@enterprise28.com,2024-11-17
69,Customer 00069 Inc,standard,NORTH_AMERICA,user_69@enterprise29.com,2024-11-16
70,Customer 00070 Inc, SILVER,EMEA,user_70@enterprise30.com,2024-01-05
